BLOCK.POS,Sample.ID,Family.Unique,Family.NonUnique,Replicate,HabitatType,Region,Population,Collector,Collection.Date,Block.ID,Position,Letter.Pos,No.Position,Bench,Planting.Date,Survival.Y.N,Germination.Y.N,Germination.Date,No.Days.to.Germ,True.Leaf,No.Days.to.TrueLeaf,Germ.to.TrueLeaf,Flower.Y.N.2016,Fruit.Y.N.2016,DTFF.2016,no.Planting.to.DTFF,No.Days.Germ.to.Flr,No.Days.TL.to.Flr,No.Flowers.2016,No.Fruit.2016,Seedmass.2016,sm,Flower.Y.N.2017,Fruit.Y.N.2017,Flowering.4.2.17.Y.N,DTFF.2017,DTFF.Ordinal.Day.2017,norm.flower.date.2017,Date.to.Bolt.2017,DtB.O.Day.2017,norm.bolt.date.2017,Date.to.Fruit.2017,Fruit.O.Day.2017,norm.fruit.date.2017,Seedmass.2017,sm2017,sm.2,Survival.Y.N.2017,No.Fruit.2017,Total.N.R.2017,Total.Flowers.2017,Flowering.Y.N.2018,Fruit.Y.N.2018,DTFF.2018,DTFF.18.Oday,DtB.2018,DtB.Oday.2018,Date.to.Fruit.2018,Date.to.Fruit.Oday.2018,Non.reproductive.flowers,seedmass.2018.g.,No.Fruit.2018,Total.Flowers.2018,Survival.Y.N.2018,Latitude,Longitude,Elevation.m,n.fruit.envelopes,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1-J5,NAP-CE.7.1,NAP-CE_7,7,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,J5,J,5,1,11/7/2015,1,1,11/20/2015,13,11/26/2015,19,6,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/12/2017,102,12,6/2/2017,153,63,0.068,68,68,1,1,7,8,1,1,4/23/2018,113,5/14/2018,134,5/20/2018,140,2,0.4093,2,4,1,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-J6,MAN-FOX.2.1,MAN-FOX_2,2,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,J6,J,6,1,11/7/2015,1,1,11/15/2015,8,11/21/2015,14,6,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/9/2017,99,9,4/23/2017,113,23,5/29/2017,149,59,0.357,357,357,1,4,2,6,1,0,4/12/2018,102,5/7/2018,127,NA,NA,1,NA,NA,1,1,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-J7,CAR-NBA.21.1,CAR-NBA_21,21,1,Alvar,GL_alvar,CAR-NBA,Jill_Hamilton,7/7/2015,1,J7,J,7,1,11/7/2015,1,1,11/17/2015,10,11/25/2015,18,8,1,0,7/14/2016,250,240,232,8,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,0.82,820,820,1,13,11,24,1,1,4/23/2018,113,5/7/2018,127,5/18/2018,138,7,0.4449,7,14,1,44.68502,-79.05154,268,21,5.7,19.2,-9.1,28.2,911,398,17.2,48.2,904,1887,4611,149,167,139,273,134,258,-35.5,35.6,689,175,13.5,63
1-J8,MB-MR.13.1,MB-MR_13,13,1,Prairie,MB_alvar,MB-MR,Rebekah_Neufeld,7/2/2015,1,J8,J,8,1,11/7/2015,1,1,11/17/2015,10,11/26/2015,19,9,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,4/9/2017,99,9,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.1372,2,2,1,51.184289,-97.626839,231,40,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53
1-K10,MB-CRN.10.1,MB-CRN_10,10,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,K10,K,10,1,11/7/2015,1,1,11/16/2015,9,11/23/2015,16,7,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,1,1,0,4/23/2018,113,5/14/2018,134,NA,NA,2,NA,NA,2,1,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-K11,MB-MR.38.1,MB-MR_38,38,1,Prairie,MB_alvar,MB-MR,Rebekah_Neufeld,7/2/2015,1,K11,K,11,1,11/7/2015,1,1,11/21/2015,14,11/28/2015,21,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4/2/2017,91,1,4/16/2017,106,16,NA,NA,NA,0.65,650,650,1,7,0,7,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,51.184289,-97.626839,231,40,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53
1-K12,SD-MUD.31.1,SD-MUD_31,31,1,Prairie,Prairie,SD-MUD,Tyler_Stadel,6/26/2015,1,K12,K,12,1,11/7/2015,1,1,12/9/2015,32,12/17/2015,40,8,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/12/2017,102,12,5/26/2017,146,56,0.787,787,787,1,10,0,10,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,44.76309,-96.58792,531,33,6.1,22,-11.7,33.7,625,396,25.8,55.6,1082,2253,4609,321,167,132,272,140,87,-38.7,40.1,753,249,13.5,58
1-K13,AB-RO.8.1,AB-RO_8,8,1,Prairie,Prairie,AB-RO,Chad_Stratilo,6/21/2015,1,K13,K,13,1,11/7/2015,1,1,11/21/2015,14,11/26/2015,19,5,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,49.671944,-110.147222,721,20,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-41.5,38.4,705,427,12.5,52
1-K14,NAP-ASS.25.1,NAP-ASS_25,25,1,Alvar,GL_alvar,NAP-ASS,Jill_Hamilton,7/6/2015,1,K14,K,14,1,11/7/2015,1,1,11/17/2015,10,11/28/2015,21,11,1,0,8/1/2016,268,258,247,3,0,0,0,1,0,1,4/2/2017,91,1,4/12/2017,102,12,NA,NA,NA,1.78,1780,1780,1,13,1,14,1,0,4/19/2018,109,5/7/2018,127,NA,NA,4,0.8527,7,11,1,44.26533,-76.71188,126,40,6.9,20.7,-7.8,28.5,872,366,19.4,56.5,743,2132,4236,237,182,132,279,147,202,-33.6,36.6,685,199,12.6,66
1-K15,MAN-FOX.8.1,MAN-FOX_8,8,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,K15,K,15,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,1,0,7/30/2016,266,254,247,1,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,0,0,0,1,NA,2,2,1,1,4/23/2018,113,4/30/2018,120,5/17/2018,137,5,0.4128,5,10,1,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-K16,MAN-FOX.22.1,MAN-FOX_22,22,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,K16,K,16,1,11/7/2015,1,1,11/17/2015,10,11/25/2015,18,8,1,0,7/5/2016,241,231,223,8,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,2.698,2698,2698,1,22,3,25,1,1,4/23/2018,113,5/17/2018,137,5/19/2018,139,1,1.2706,7,8,1,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-K2,MAN-FOX.38.1,MAN-FOX_38,38,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,K2,K,2,1,11/7/2015,1,1,11/30/2015,23,12/7/2015,30,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-K3,MAN-MIS.23.1,MAN-MIS_23,23,1,Alvar,GL_alvar,MAN-MIS,Jill_Hamilton,7/8/2015,1,K3,K,3,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/17/2017,137,47,1.748,1748,1748,1,21,6,27,1,1,4/19/2018,109,5/3/2018,123,5/20/2018,140,3,0.9713,10,13,1,45.80825,-82.75912,193,40,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66
1-K4,AB-HSC.8.1,AB-HSC_8,8,1,Prairie,Prairie,AB-HSC,Chad_Stratilo,6/21/2015,1,K4,K,4,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.636389,-110.33,721,20,4,17.1,-9,26.2,382,240,36.6,71.3,1013,1463,5136,289,155,148,249,100,90,-41.5,37.1,668,374,11.6,53
1-K5,ND-BSP.19.1,ND-BSP_19,19,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,K5,K,5,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-K6,MI-DRI.5.1,MI-DRI_5,5,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,K6,K,6,1,11/7/2015,1,1,11/22/2015,15,12/1/2015,24,9,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/12/2017,102,12,4/23/2017,113,23,5/17/2017,137,47,0.589,589,589,1,7,3,10,1,0,4/19/2018,109,5/14/2018,134,NA,NA,2,NA,NA,2,1,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
1-K7,NAP-SCH.11.1,NAP-SCH_11,11,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,K7,K,7,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-K8,CAR-PSR.6.1,CAR-PSR_6,6,1,Alvar,GL_alvar,CAR-PSR,Jill_Hamilton,7/7/2015,1,K8,K,8,1,11/7/2015,1,1,11/16/2015,9,11/24/2015,17,8,1,1,5/30/2016,205,196,188,23,2,0.049,49,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/28/2017,148,58,1.985,1985,2034,1,16,9,25,1,1,4/12/2018,102,5/3/2018,123,5/19/2018,139,0,2.7672,21,21,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
1-L10,NAP-CE.29.1,NAP-CE_29,29,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,L10,L,10,1,11/7/2015,1,1,11/17/2015,10,11/26/2015,19,9,1,0,10/30/2016,358,348,339,4,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,6/4/2017,155,65,0.08,80,80,1,1,7,8,1,1,4/12/2018,102,5/7/2018,127,5/25/2018,145,0,0.0198,1,1,1,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-L11,AB-LL.34.1,AB-LL_34,34,1,Prairie,Prairie,AB-LL,Mary_Vetter,7/1/2015,1,L11,L,11,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/30/2017,120,30,6/2/2017,153,63,0.131,131,131,1,1,1,2,1,1,5/3/2018,123,5/14/2018,134,5/26/2018,146,0,0.1035,1,1,1,49.543611,-114.247222,929,40,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,-40,34.9,626,283,13.4,55
1-L12,MAN-LCI.24.1,MAN-LCI_24,24,1,Alvar,GL_alvar,MAN-LCI,Jill_Hamilton,7/9/2015,1,L12,L,12,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.99426,-81.89436,182,24,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64
1-L13,MAN-LCI.11.1,MAN-LCI_11,11,1,Alvar,GL_alvar,MAN-LCI,Jill_Hamilton,7/9/2015,1,L13,L,13,1,11/7/2015,1,1,11/17/2015,10,11/24/2015,17,7,1,0,7/16/2016,252,242,235,2,0,0,0,1,1,1,4/2/2017,91,1,4/12/2017,102,12,5/15/2017,135,45,1.646,1646,1646,1,15,2,17,1,0,4/12/2018,102,4/30/2018,120,NA,NA,3,NA,NA,3,1,45.99426,-81.89436,182,24,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64
1-L14,WNY-CB.39.1,WNY-CB_39,39,1,Alvar,GL_alvar,WNY-CB,Jill_Hamilton,7/5/2015,1,L14,L,14,1,11/7/2015,1,1,11/17/2015,10,11/23/2015,16,6,1,0,6/27/2016,233,223,217,18,0,0,0,1,1,1,4/2/2017,91,1,4/30/2017,120,30,5/15/2017,135,45,0.822,822,822,1,14,8,22,1,1,4/23/2018,113,4/30/2018,120,5/25/2018,145,4,0.0852,2,6,1,44.097639,-76.082861,93,40,7.1,20.5,-7.7,28.2,892,385,19.1,53.3,717,2144,4180,231,177,135,277,142,187,-34.1,37,721,208,12.2,62
1-L15,AB-RO.18.1,AB-RO_18,18,1,Prairie,Prairie,AB-RO,Chad_Stratilo,6/21/2015,1,L15,L,15,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.671944,-110.147222,721,20,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-41.5,38.4,705,427,12.5,52
1-L16,AB-LL.12.1,AB-LL_12,12,1,Prairie,Prairie,AB-LL,Mary_Vetter,7/1/2015,1,L16,L,16,1,11/7/2015,1,1,11/18/2015,11,11/26/2015,19,8,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/9/2017,99,9,4/12/2017,102,12,6/2/2017,153,63,0.164,164,164,1,3,2,5,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,49.543611,-114.247222,929,40,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,-40,34.9,626,283,13.4,55
1-L2,MB-MR.10.1,MB-MR_10,10,1,Prairie,MB_alvar,MB-MR,Rebekah_Neufeld,7/2/2015,1,L2,L,2,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.184289,-97.626839,231,40,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53
1-L3,NAP-SCH.9.1,NAP-SCH_9,9,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,L3,L,3,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-L4,MAN-FOX.4.1,MAN-FOX_4,4,1,Alvar,GL_alvar,MAN-FOX,Jill_Hamilton,7/8/2015,1,L4,L,4,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,1,0,7/22/2016,258,246,239,6,0,0,0,1,1,0,4/5/2017,95,5,4/16/2017,106,16,5/16/2017,136,46,0.374,374,374,1,6,2,8,1,0,4/26/2018,116,5/7/2018,127,NA,NA,1,NA,NA,1,1,45.89713,-82.57893,186,40,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66
1-L5,NAP-SCH.3.1,NAP-SCH_3,3,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,L5,L,5,1,11/7/2015,1,1,11/20/2015,13,11/25/2015,18,5,1,0,7/30/2016,266,253,248,9,0,0,0,1,0,1,4/2/2017,91,1,4/23/2017,113,23,NA,NA,NA,0.686,686,686,1,10,5,15,1,0,4/12/2018,102,NA,NA,NA,NA,1,NA,NA,1,1,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-L6,ND-BSP.25.1,ND-BSP_25,25,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,L6,L,6,1,11/7/2015,1,1,11/16/2015,9,11/26/2015,19,10,1,0,7/30/2016,266,257,247,1,0,0,0,1,1,1,4/2/2017,91,1,4/9/2017,99,9,5/27/2017,147,57,0.161,161,161,1,3,4,7,1,1,4/12/2018,102,5/7/2018,127,5/19/2018,139,1,0.1698,2,3,1,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-L7,CAR-PSR.31.1,CAR-PSR_31,31,1,Alvar,GL_alvar,CAR-PSR,Jill_Hamilton,7/7/2015,1,L7,L,7,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
1-L8,AB-HSC.16.1,AB-HSC_16,16,1,Prairie,Prairie,AB-HSC,Chad_Stratilo,6/21/2015,1,L8,L,8,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.636389,-110.33,721,20,4,17.1,-9,26.2,382,240,36.6,71.3,1013,1463,5136,289,155,148,249,100,90,-41.5,37.1,668,374,11.6,53
1-M10,AB-RL.4.1,AB-RL_4,4,1,Prairie,Prairie,AB-RL,Chad_Stratilo,6/21/2015,1,M10,M,10,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,20,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
1-M11,MAN-KIP.35.1,MAN-KIP_35,35,1,Alvar,GL_alvar,MAN-KIP,Jill_Hamilton,7/8/2015,1,M11,M,11,1,11/7/2015,1,1,11/15/2015,8,11/23/2015,16,8,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/17/2017,137,47,0.792,792,792,1,11,8,19,1,1,4/23/2018,113,5/7/2018,127,5/22/2018,142,2,1.2538,8,10,1,45.87036,-82.53938,183,40,5.1,18.8,-9.7,28.4,827,360,18.2,52.2,961,1763,4790,124,174,140,276,136,239,-35.2,34.8,615,177,12.9,66
1-M12,ND-BSP.29.1,ND-BSP_29,29,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,M12,M,12,1,11/7/2015,1,1,11/23/2015,16,11/30/2015,23,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/23/2017,113,23,5/15/2017,135,45,0.41,410,410,1,10,2,12,1,1,4/30/2018,120,5/7/2018,127,5/20/2018,140,2,0.14,2,4,1,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-M13,ND-BSP.13.1,ND-BSP_13,13,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,M13,M,13,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-M14,AB-RL.9.1,AB-RL_9,9,1,Prairie,Prairie,AB-RL,Chad_Stratilo,6/21/2015,1,M14,M,14,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,20,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
1-M15,AB-LL.7.1,AB-LL_7,7,1,Prairie,Prairie,AB-LL,Mary_Vetter,7/1/2015,1,M15,M,15,1,11/7/2015,1,1,11/21/2015,14,11/26/2015,19,5,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,5/3/2017,123,33,6/8/2017,159,69,0.046,46,46,1,1,2,3,1,0,4/23/2018,113,NA,NA,NA,NA,1,NA,NA,1,1,49.543611,-114.247222,929,40,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,-40,34.9,626,283,13.4,55
1-M16,SD-MUD.19.1,SD-MUD_19,19,1,Prairie,Prairie,SD-MUD,Tyler_Stadel,6/26/2015,1,M16,M,16,1,11/7/2015,1,1,11/21/2015,14,11/28/2015,21,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/9/2017,99,9,4/16/2017,106,16,5/15/2017,135,45,0.091,91,91,1,1,8,9,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,44.76309,-96.58792,531,33,6.1,22,-11.7,33.7,625,396,25.8,55.6,1082,2253,4609,321,167,132,272,140,87,-38.7,40.1,753,249,13.5,58
1-M2,MI-DRI.24.1,MI-DRI_24,24,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,M2,M,2,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
1-M3,AB-RO.19.1,AB-RO_19,19,1,Prairie,Prairie,AB-RO,Chad_Stratilo,6/21/2015,1,M3,M,3,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.671944,-110.147222,721,20,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-41.5,38.4,705,427,12.5,52
1-M4,NAP-CE.2.1,NAP-CE_2,2,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,M4,M,4,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-M5,MI-DRI.25.1,MI-DRI_25,25,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,M5,M,5,1,11/7/2015,1,1,11/17/2015,10,11/25/2015,18,8,1,0,6/29/2016,235,225,217,14,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,3.08,3080,3080,1,24,3,27,1,0,4/16/2018,106,5/17/2018,137,NA,NA,1,NA,NA,1,1,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
